,east,north,vertical,e_std,n_std,v_std
2008-04-30,,1.4352128967504996,,,1.023,
2008-05-01,1.4513537482527,0.3592504352978949,0.4040132630281619,0.71,1.001,3.3130000000000006
2008-05-02,-0.14570229463276974,0.8646048188464874,0.5441299352185638,0.731,1.014,3.444
2008-05-03,1.0935905274814104,0.8271376836453328,-3.383099198841137,0.727,1.015,3.392
2008-05-04,1.9689917795953988,-0.12336438405714034,-5.1728611304006336,0.73,1.014,3.44
2008-05-05,2.4906237292096876,-0.3169560367592794,,0.721,1.017,
2008-05-06,-0.3811532561758213,0.31358573803981926,-0.6462636885200368,0.725,1.011,3.41
2008-05-07,-0.32326383031215755,1.4368209165879762,3.2615818224203963,0.728,0.9990000000000001,3.389
2008-05-08,-2.1514282231977404,0.48221309888538144,-5.419810117889426,0.725,0.9940000000000001,3.37
2008-05-09,-1.138765117333378,1.770015817434114,1.0014341543009664,0.721,1.008,3.367
2008-05-10,1.388105156030747,0.5816625297327391,0.61319302149127,0.7240000000000001,1.011,3.391
2008-05-11,-0.4297993843548511,0.005699469530100032,-3.0703540650683294,0.733,1.0219999999999998,3.498
2008-05-12,-5.432523003490928,2.2486879543289433,6.175511420871942,0.723,1.0219999999999998,3.422
2008-05-13,-0.6761535188767311,-0.5167848621229041,3.3938602093122654,0.71,1.003,3.309
2008-05-14,-2.0688390855125363,2.314066021424537,5.901112192752805,0.718,1.005,3.366
2008-05-15,2.4301155103513565,2.6845740424729456,2.910289734942978,0.7200000000000001,1.016,3.383
2008-05-16,0.6754698299661186,-0.9732157489784186,-3.8162997178666274,0.713,1.0070000000000001,3.345
2008-05-17,-1.677519200420079,-0.2656121166809271,2.681694248073711,0.718,0.9990000000000001,3.3930000000000002
2008-05-18,-0.36023809330572476,-0.47856594438235334,-4.148612573486048,0.733,1.008,3.4270000000000005
2008-05-19,-0.763031929941576,1.5253621879162438,1.8475012524543786,0.726,1.0,3.401
2008-05-20,1.1039107784228008,-0.6682866472864362,-2.1975696703553353,0.722,1.018,3.4170000000000003
2008-05-21,-2.144686698213036,1.1094106075124728,-4.733212859414948,0.728,1.01,3.4090000000000003
2008-05-22,1.1543987901513901,4.198440452310706,-1.0740692872246314,0.7340000000000001,1.02,3.4330000000000003
2008-05-23,0.005253956015621952,1.1996241396079768,1.4008834837156314,0.732,1.009,3.4819999999999998
2008-05-24,-0.4861566081207229,0.3992581044067265,2.627008492156108,0.7120000000000001,0.997,3.339
2008-05-25,-0.39744058350663636,0.16001989920539472,4.061336545596362,0.718,0.9940000000000001,3.315
2008-05-26,0.5793811923579142,0.11607689650281827,4.669442786536763,0.7170000000000001,1.0,3.349
2008-05-27,-0.2890872030279752,1.8597737650512727,3.65075758622703,0.708,0.9890000000000001,3.287
2008-05-28,0.5183548453366029,-0.29719071640056427,-4.914510020332614,0.7070000000000001,0.998,3.321
